title,unit,startMonth,startYear,endMonth,endYear,where,detail,details,detailss,detailsss,
Research Data Analyst II --- California Correctional Health Care Services,Medical Services,October,2019.00,Present,,Elk Grove - California,LANGUAGES USED --- | HTML | CSS | SASS | JavaScript | R | RMarkdown | SQL | CCL |,,,,
Research Data Analyst II --- California Correctional Health Care Services,Medical Services,October,2019.00,Present,,Elk Grove - California,Client side Cerner Millenium Database Administrator,,,,
Research Data Analyst II --- California Correctional Health Care Services,Medical Services,October,2019.00,Present,,Elk Grove - California,I design and disseminate statistical reports and visualizations written with R and RMarkdown,,,,
Research Data Analyst II --- California Correctional Health Care Services,Medical Services,October,2019.00,Present,,Elk Grove - California,I create SQL queries to extract raw data from an enterprise wide data warehouse,,,,
Research Data Analyst II --- California Correctional Health Care Services,Medical Services,October,2019.00,Present,,Elk Grove - California,Using the front end web stack (HTML CSS/SASS JavaScript) as well as CCL/SQL,I draft stand alone webpages that are embedded in our Cerner Millenium medical software,,,
Open Source Software Contributor --- Github.com,github.com/tallguyjenks,May,2019.00,Present,,Online,LANGUAGES USED --- | HTML | CSS | SASS | JavaScript | R | RMarkdown | SQL | CCL | Rust | C | VBA | Bash | Markdown | TeX |,,,,
Owner & Operator --- Norseman Leather Works,Norseman Leather Works,May,2015.00,Present,,Galt - California,LANGUAGES USED --- | R | RMarkdown |,,,,
Owner & Operator --- Norseman Leather Works,Norseman Leather Works,May,2015.00,Present,,Galt - California,Create handmade leather goods for sale through online retail,,,,
Owner & Operator --- Norseman Leather Works,Norseman Leather Works,May,2015.00,Present,,Galt - California,Analyze Etsy sale csv data files with R and PowerBI to determine marketing and sale strategies,,,,
Owner & Operator --- Norseman Leather Works,Norseman Leather Works,May,2015.00,Present,,Galt - California,Utilize R Programming to analyze timeseries trends in sales revenue and expenses,,,,
Associate Governmental Program Analyst --- California Correctional Health Care Services,Region 1 Quality Management,November,2018.00,October,2019.00,Elk Grove - California,LANGUAGES USED --- | R | VBA | RMarkdown | HTML | CSS |,,,,
Associate Governmental Program Analyst --- California Correctional Health Care Services,Region 1 Quality Management,November,2018.00,October,2019.00,Elk Grove - California,Conducted data literacy and anaylsis training to over 120+ department staff,of all levels from Office Assistants to CEOs at 10 remote sites,,,
Associate Governmental Program Analyst --- California Correctional Health Care Services,Region 1 Quality Management,November,2018.00,October,2019.00,Elk Grove - California,"Created automated reports and visualizations with VBA programming in Excel,using programming concepts such as arrays, loops, variables, objects & API's",,,,
Associate Governmental Program Analyst --- California Correctional Health Care Services,Region 1 Quality Management,November,2018.00,October,2019.00,Elk Grove - California,Region wide subject matter expert in Microsoft Excel,,,,
Associate Governmental Program Analyst --- California Correctional Health Care Services,Region 1 Quality Management,November,2018.00,October,2019.00,Elk Grove - California,Completed Lean Six Sigma Green Belt Project on the state wide,reception center process for inmates entering state custody,,,
Associate Governmental Program Analyst --- California Correctional Health Care Services,Region 1 Quality Management,November,2018.00,October,2019.00,Elk Grove - California,Created a tool to simplify data set cleaning for most Quality Management SQL,Server reports for front end staff that is utilized state wide,,,
Associate Governmental Program Analyst --- California Correctional Health Care Services,Region 1 Quality Management,November,2018.00,October,2019.00,Elk Grove - California,"Created a report that processes over 50,000 medical records daily simplifying,the process of staff resolving overdue medical appointments state wide",,,,
Staff Services Analyst(C) --- California Correctional Health Care Services,Region 1 Quality Management,September,2018.00,November,2018.00,Elk Grove - California,LANGUAGES USED --- | R | VBA | RMarkdown | HTML | CSS |,,,,
Staff Services Analyst(C) --- California Correctional Health Care Services,Region 1 Quality Management,September,2018.00,November,2018.00,Elk Grove - California,Conducted data literacy and anaylsis training to over 120+ department staff,of all levels from Office Assistants to CEOs at 10 remote sites,,,
Staff Services Analyst(C) --- California Correctional Health Care Services,Region 1 Quality Management,September,2018.00,November,2018.00,Elk Grove - California,"Created automated reports and visualizations with VBA programming in Excel using programming concepts such as arrays, loops, variables, objects & API's",,,,
Staff Services Analyst(C) --- California Correctional Health Care Services,Region 1 Quality Management,September,2018.00,November,2018.00,Elk Grove - California,Region wide subject matter expert in Microsoft Excel,,,,
Staff Services Analyst(C) --- California Correctional Health Care Services,Region 1 Quality Management,September,2018.00,November,2018.00,Elk Grove - California,Created a tool to simplify data set cleaning for most Quality Management SQL,Server reports for front end staff that is utilized state wide,,,
Staff Services Analyst(C) --- California Correctional Health Care Services,Region 1 Quality Management,September,2018.00,November,2018.00,Elk Grove - California,"Created a report that processes over 50,000 medical records daily simplifying the process of staff resolving overdue medical appointments state wide",,,,
Information Technology Associate --- California Correctional Health Care Services,Electronic Health Record System Information Technology,July,2018.00,September,2018.00,Elk Grove - California,LANGUAGES USED --- | SQL | CCL | VBA |,,,,
Information Technology Associate --- California Correctional Health Care Services,Electronic Health Record System Information Technology,July,2018.00,September,2018.00,Elk Grove - California,Resolving user tickets for the CCHCS Department statewide for issues,related to Devices Scheduling and Mental Health Provider builds,and support in relation to the Cerner Millennium Software,for the CCHCS EHRS (Electronic Health Record System),
Information Technology Associate --- California Correctional Health Care Services,Electronic Health Record System Information Technology,July,2018.00,September,2018.00,Elk Grove - California,Used Database Administrator access to grant user permissions build and route,new resources clinic lines and locations within Cerner Millennium,,,
Information Technology Associate --- California Correctional Health Care Services,Electronic Health Record System Information Technology,July,2018.00,September,2018.00,Elk Grove - California,Troubleshoot issues related to Cerner Millennium for end users and stake holders,,,,
Health Program Specialist --- California Correctional Health Care Services,Region 1 Quality Management,June,2018.00,July,2018.00,Elk Grove - California,LANGUAGES USED --- | R | VBA | RMarkdown | HTML | CSS |,,,,
Health Program Specialist --- California Correctional Health Care Services,Region 1 Quality Management,June,2018.00,July,2018.00,Elk Grove - California,Conducted data literacy and anaylsis training to over 120+ department staff,of all levels from Office Assistants to CEOs at 10 remote sites,,,
Health Program Specialist --- California Correctional Health Care Services,Region 1 Quality Management,June,2018.00,July,2018.00,Elk Grove - California,"Created automated reports and visualizations with VBA programming,in Excel using programming concepts such as,arrays, loops, variables, objects & API's",,,,
Health Program Specialist --- California Correctional Health Care Services,Region 1 Quality Management,June,2018.00,July,2018.00,Elk Grove - California,Region wide subject matter expert in Microsoft Excel,,,,
Health Program Specialist --- California Correctional Health Care Services,Region 1 Quality Management,June,2018.00,July,2018.00,Elk Grove - California,Created a tool to simplify data set cleaning for most Quality Management SQL,Server reports for front end staff that is utilized state wide,,,
Health Program Specialist --- California Correctional Health Care Services,Region 1 Quality Management,June,2018.00,July,2018.00,Elk Grove - California,"Created a report that processes over 50,000 medical records daily simplifying the process of staff resolving overdue medical appointments state wide",,,,
Staff Services Analyst(B) --- California Correctional Health Care Services,Region 1 Quality Management,November,2016.00,May,2018.00,Elk Grove - California,LANGUAGES USED --- | VBA | HTML | CSS |,,,,
Staff Services Analyst(B) --- California Correctional Health Care Services,Region 1 Quality Management,November,2016.00,May,2018.00,Elk Grove - California,Conducted data literacy and anaylsis training to over 120+ department staff,of all levels from Office Assistants to CEOs at 10 remote sites,,,
Staff Services Analyst(B) --- California Correctional Health Care Services,Region 1 Quality Management,November,2016.00,May,2018.00,Elk Grove - California,"Created automated reports and visualizations with VBA,programming in Excel using programming concepts such,as arrays, loops, variables, objects & API's",,,,
Staff Services Analyst(B) --- California Correctional Health Care Services,Region 1 Quality Management,November,2016.00,May,2018.00,Elk Grove - California,Region wide subject matter expert in Microsoft Excel,,,,
Staff Services Analyst(B) --- California Correctional Health Care Services,Region 1 Quality Management,November,2016.00,May,2018.00,Elk Grove - California,Created a tool to simplify data,set cleaning for most Quality Management SQL,Server reports for front end staff that is utilized state wide,,
Staff Services Analyst(B) --- California Correctional Health Care Services,Region 1 Quality Management,November,2016.00,May,2018.00,Elk Grove - California,"Created a report that processes over,50,000 medical records daily simplifying the process of staff,resolving overdue medical appointments state wide",,,,
Office Technician --- California Correctional Health Care Services,Mule Creek State Prison,April,2016.00,October,2016.00,Ione - California,I analyzed Inmate Health Care Appeals independently,reviewed and suggested method of processing while preparing,the appeals for review by the Appeal Coordinator,,
Office Technician --- California Correctional Health Care Services,Mule Creek State Prison,April,2016.00,October,2016.00,Ione - California,I scheduled and conducted inmate interviews to those with disabilities trouble understanding English and low comprehension to ensure effective communication of their response from the Health Care Appeals Office,,,,
Office Technician --- California Correctional Health Care Services,Mule Creek State Prison,April,2016.00,October,2016.00,Ione - California,I analyzed and interpreted trends in data,from several spreadsheets of my design intended to track,appeal movement through the institution and support the Health Care,Appeals Coordinator in preventing overdue appeals,
Office Technician --- California Correctional Health Care Services,Mule Creek State Prison,April,2016.00,October,2016.00,Ione - California,I utilize the HCARTS system for the creation,and tracking of Health Care Appeals in conjunction,with various other programs such as SOMS Inmate Locator eUHR,and other correctional programs to effectively track and complete timely between 200-400 appeals per month,
Office Assistant --- California Correctional Health Care Services,Mule Creek State Prison,September,2015.00,March,2016.00,Ione - California,I analyzed on average 14000+ medical,documents for necessary signatures completion of the various,stages of processing and routing and submission into the,Health Care Services eUHR Database every month.,
Office Assistant --- California Correctional Health Care Services,Mule Creek State Prison,September,2015.00,March,2016.00,Ione - California,Documents handled such as but not limited to: Mental Health Treatment Plans Mental Health Notes 7230 Medical Progress Notes 7230 7362 Request for Medical Services Forms and Dental Chart update forms. I analyzed and processed forms from every he,,,,
Office Assistant --- California Correctional Health Care Services,Mule Creek State Prison,September,2015.00,March,2016.00,Ione - California,I analyzed and tracked trends in mail volume utilizing MS Excel for the Office Services Supervisor I and reported daily logs for their records.,,,,
Office Assistant --- California Correctional Health Care Services,Mule Creek State Prison,September,2015.00,March,2016.00,Ione - California,I Managed created and filed various inmate Dental forms into charts for the entire inmate dental program at Mule Creek State Prison.,,,,
